node_id,location
5806378066,Đường Huỳnh Tấn Phát
366455474,Đường Nguyễn Kiệm
3758592340,Hẻm 145 Nguyễn Văn Trỗi
5763293916,Đường Thích Quảng Đức
2084677921,Hẻm 521 Trường Chinh
5767341919,Đường TL 03
366450290,Đường Thống Nhất
4202267655,Đường Bình Tiên
366373003,Đường Bình Quới
5716917501,Đường Lê Đức Thọ
5762619761,Công viên Làng Hoa
2021899492,Hẻm 12 Hoàng Hoa Thám
5733301047,Hẻm 275 Bạch Đằng
3385404221,Đường Nguyễn Duy Trinh
2131959234,Đường Nguyễn Thái Học
2081355030,Đường Nhất Chi Mai
2156216413,Vòng xoay Trung Sơn
2211350099,Cảng Nhà Rồng Khánh Hội
1540694692,Đường Nguyễn Bình
366432328,Đường số 15
4646816752,Ngã tư 3 Tháng 2 - Lê Hồng Phong
729523364,Đường Điện Biên Phủ - chân Cầu vượt Hàng Xanh
3771416308,Đường Lê Bình
5762711578,Đường Cống Quỳnh
4944096831,Đường D9
5778300411,Đường Điện Biên Phủ
3166179577,Đường Hai Bà Trưng
2942889544,Vựa cây cảnh đường Phan Huy Ích
411918853,Đường Phùng Khắc Khoan
5003306325,Hẻm 274 Vườn Lài
5307203576,Đường Lê Lợi
1769456883,Ngã ba Nguyễn Văn Chiêm - Phạm Ngọc Thạch
2262762755,Vòng quay Tân Thắng
1774952214,Công Viên Hoàng Văn Thụ
4535195806,Đường Lê Đại Hành
366478800,Đường Thanh Niên
411919193,Đường Lý Tự Trọng
411918558,Toà nhà Pasteur
5763168797,Nhà hát Thiếu nhi Nụ Cười
411926498,Đường Thi Sách
1226517290,Đường Nguyễn Thị Minh Khai
701738629,Công trường Quốc Tế - Hồ Con Rùa
366403574,Đường Nguyễn Gia Trí
411926201,Đường Nguyễn Du
3167001368,Đường Nguyễn Đình Chiểu
5765007168,Đường Nguyễn Đình Chính
2034589362,Đường Võ Văn Kiệt
