start_node,end_node,bikes per hour
366373003,3178952974,829.0
366373003,5307221672,829.0
366373003,729523405,829.0
366373003,411926606,829.0
366373003,2469697625,829.0
366373003,5893932269,820.0
366373003,4640689702,829.0
366373003,1769173809,829.0
366373003,1497312730,829.0
366373003,5762755207,820.0
366373003,411926632,829.0
366373003,5738097219,829.0
366373003,925126918,829.0
366373003,411918528,829.0
366373003,2079964847,829.0
366373003,3110867005,829.0
366373003,4620312299,829.0
366373003,2030639570,829.0
366373003,5742463935,820.0
366373003,5767156750,829.0
366373003,1833407692,829.0
366373003,1757008359,829.0
366373003,2091954845,829.0
366373003,5772101044,829.0
366373003,2937728604,829.0
366373003,366414108,829.0
366373003,1765166516,829.0
366373003,3342113628,829.0
366373003,5762825444,829.0
366373003,3342113686,829.0
366373003,1996655551,829.0
366373003,3141309629,829.0
366373003,411926412,829.0
366373003,2946995066,829.0
366373003,2028465941,829.0
366373003,366464065,820.0
366373003,5740162446,829.0
366373003,4875814748,829.0
366373003,3700940984,829.0
366373003,2211007482,829.0
366373003,4945688766,829.0
366373003,5778688792,829.0
366373003,5772101028,829.0
366373003,411918857,829.0
366373003,411917829,829.0
366373003,366404948,829.0
366373003,2922948272,820.0
366373003,2296695354,829.0
366373003,2081880939,829.0
366373003,5742825828,4731.0
366373003,366457722,829.0
366373003,3168357169,829.0
366373003,4275271701,829.0
366373003,1769173927,829.0
366373003,4609087192,829.0
366373003,366437635,829.0
366373003,2034589357,829.0
366373003,411925946,829.0
366373003,3285275354,829.0
366373003,4597281310,829.0
366373003,1769173902,829.0
366373003,5764789632,829.0
366373003,411926624,829.0
366373003,5057828620,829.0
366373003,1802527565,829.0
366373003,5778360128,829.0
366373003,4068031141,829.0
366373003,2022539301,829.0
366373003,366401737,829.0
366373003,1997154284,829.0
366373003,2072605232,820.0
366373003,1497312775,829.0
366373003,6022345185,829.0
366373003,366406615,829.0
366373003,2269043922,820.0
366373003,2934006870,829.0
366373003,5778300411,829.0
366373003,3168120093,829.0
366373003,5762711578,829.0
366373003,3771416308,829.0
366373003,729523364,829.0
366373003,4646816752,829.0
366373003,3166179577,829.0
366373003,366432328,829.0
366373003,2211350099,829.0
366373003,2214122074,829.0
366373003,3830454074,829.0
366373003,2131959234,829.0
366373003,2077773901,820.0
366373003,3385404221,829.0
366373003,1540694692,829.0
366373003,2942889544,820.0
366373003,3242683103,820.0
366373003,5003306325,829.0
366373003,411926201,829.0
366373003,366403574,829.0
366373003,4613083209,829.0
366373003,1226517290,829.0
366373003,701738629,829.0
366373003,411926498,829.0
366373003,5763168797,829.0
366373003,411918558,829.0
366373003,411919193,829.0
366373003,366478800,820.0
366373003,4010973001,829.0
366373003,1793489511,829.0
366373003,2262762755,829.0
366373003,1769456883,829.0
366373003,5307203576,829.0
366373003,5733301047,829.0
366373003,2021899492,829.0
366373003,5762619761,820.0
366373003,5716917501,820.0
366373003,5045757162,829.0
366373003,1997154748,829.0
366373003,4440176377,820.0
366373003,2081881127,829.0
366373003,411923488,829.0
366373003,2159586691,829.0
366373003,2233449865,829.0
366373003,2231246173,829.0
366373003,1672907088,829.0
366373003,3887838914,829.0
366373003,4068007613,829.0
366373003,2269043923,820.0
366373003,366419728,829.0
366373003,411925696,829.0
366373003,4594765218,829.0
366373003,366449378,820.0
