start_node,end_node,length,bikes per hour,cars per hour
366373003,2353073491,11488.0,820.0,66.0
366373003,2212446493,22553.0,829.0,104.0
366373003,366460317,12909.0,829.0,104.0
366373003,3167001368,8301.0,829.0,104.0
366373003,5765007168,9363.0,829.0,104.0
366373003,5738265715,13278.0,829.0,104.0
366373003,3806810443,11939.0,829.0,104.0
366373003,366456369,14174.0,829.0,104.0
366373003,5748108677,17131.0,820.0,66.0
366373003,5757541611,14097.0,829.0,104.0
366373003,2408534557,8493.0,829.0,104.0
366373003,2302073750,12702.0,829.0,104.0
366373003,696627474,8469.0,829.0,104.0
366373003,4875814765,11959.0,829.0,104.0
366373003,411925910,9983.0,829.0,104.0
366373003,5758130729,10860.0,829.0,104.0
366373003,4535195806,13225.0,829.0,104.0
366373003,1774952214,10173.0,829.0,104.0
366373003,2156216413,13602.0,829.0,104.0
366373003,4944096836,1620.0,3956.0,1008.0
366373003,411918853,7581.0,829.0,104.0
366373003,4944096831,9255.0,829.0,104.0
366373003,2081355030,13061.0,829.0,104.0
366373003,366455474,9463.0,820.0,66.0
366373003,4945643893,2819.0,4356.0,1114.0
366373003,6205235785,2890.0,4832.0,1215.0
366373003,5802888801,2481.0,3056.0,1291.0
366373003,5043145855,1637.0,3233.0,1461.0
366373003,2209479552,16459.0,829.0,104.0
366373003,676548643,5250.0,829.0,104.0
366373003,2325332286,10714.0,829.0,104.0
366373003,4944096827,1919.0,3548.0,1354.0
366373003,1929546274,2898.0,3742.0,1168.0
366373003,676035155,13579.0,829.0,104.0
366373003,3338165653,16413.0,829.0,104.0
366373003,5467207473,9165.0,820.0,66.0
366373003,2934599680,14927.0,829.0,104.0
366373003,2915456724,16062.0,829.0,104.0
366373003,1996654342,10459.0,829.0,104.0
366373003,411919364,8016.0,829.0,104.0
366373003,411926069,9558.0,829.0,104.0
366373003,3152632052,12396.0,829.0,104.0
366373003,5778421275,8319.0,829.0,104.0
366373003,5467207443,8310.0,829.0,104.0
366373003,411925950,7147.0,829.0,104.0
366373003,4650010744,10270.0,829.0,104.0
366373003,4597283194,8491.0,829.0,104.0
366373003,1958801416,16539.0,829.0,104.0
366373003,5797843854,17581.0,829.0,104.0
366373003,2621185492,17553.0,829.0,104.0
366373003,2034589362,9632.0,829.0,104.0
366373003,5758130724,10809.0,829.0,104.0
366373003,737199274,12559.0,820.0,66.0
366373003,5773400692,7176.0,829.0,104.0
366373003,411917952,8154.0,829.0,104.0
366373003,4603175867,9383.0,829.0,104.0
366373003,366398306,15886.0,829.0,104.0
366373003,2036083088,8781.0,829.0,104.0
366398306,3385404221,11924.0,799.0,62.0
366398306,2353073491,16663.0,3527.0,225.0
366398306,3116773942,20940.0,799.0,62.0
366398306,4068017784,21422.0,1146.0,160.0
366398306,1835411287,10459.0,799.0,62.0
366398306,366464950,15418.0,826.0,68.0
366398306,5806378066,6759.0,417.0,33.0
366398306,5783301728,2752.0,799.0,62.0
366398306,3758592340,10947.0,2445.0,329.0
366398306,5763293916,11835.0,3527.0,329.0
366398306,5767341919,18491.0,3527.0,225.0
366398306,366450290,14929.0,826.0,68.0
366398306,2077773901,13825.0,3527.0,225.0
366398306,4202267655,11336.0,289.0,38.0
366398306,5006654050,15753.0,826.0,68.0
366398306,5716917501,15637.0,3527.0,329.0
366398306,5762619761,17476.0,3527.0,225.0
366398306,2021899492,11278.0,3527.0,329.0
366398306,2212446493,16820.0,826.0,68.0
366398306,2084677921,14529.0,3951.0,433.0
366398306,5733301047,11415.0,3527.0,329.0
366398306,2231246173,9632.0,3527.0,309.0
366398306,366460317,10470.0,826.0,68.0
366398306,2269043922,15751.0,3527.0,225.0
366398306,2131959234,6953.0,3951.0,433.0
366398306,1628403495,1807.0,7157.0,733.0
366398306,2934006870,9686.0,826.0,68.0
366398306,4594765218,6784.0,3951.0,433.0
366398306,411925696,9002.0,1269.0,112.0
366398306,366419728,12328.0,3653.0,371.0
366398306,2269043923,15849.0,3527.0,225.0
366398306,4068007613,12799.0,1916.0,160.0
366398306,366439908,14326.0,541.0,65.0
366398306,3887838914,10567.0,1269.0,112.0
366398306,2233449865,9982.0,3504.0,433.0
366398306,2159586691,2797.0,3756.0,297.0
366398306,411923488,8871.0,3951.0,433.0
366398306,2081881127,12700.0,3951.0,433.0
366398306,4440176377,16019.0,3527.0,225.0
366398306,1997154748,8358.0,1269.0,112.0
366398306,5045757162,9360.0,826.0,68.0
366398306,366449378,12806.0,3527.0,225.0
366398306,1497312735,11980.0,1844.0,156.0
366398306,1672907088,11871.0,3653.0,371.0
366398306,3830454074,15433.0,3951.0,433.0
366398306,411926498,7772.0,3527.0,329.0
366398306,2211350099,5277.0,3527.0,329.0
366398306,5765007168,10913.0,2187.0,329.0
366398306,2034589362,6915.0,3527.0,329.0
366398306,5797843854,14105.0,289.0,38.0
366398306,366456369,10429.0,826.0,68.0
366398306,5748108677,20081.0,3192.0,433.0
366398306,5757541611,15560.0,3951.0,433.0
366398306,2408534557,11104.0,696.0,69.0
366398306,2302073750,9614.0,826.0,68.0
366398306,696627474,11374.0,696.0,69.0
366398306,4875814765,12557.0,3951.0,433.0
366398306,411925910,8604.0,3951.0,433.0
366398306,5758130729,8710.0,1269.0,112.0
366398306,4535195806,11087.0,826.0,68.0
366398306,1774952214,12236.0,2445.0,329.0
366398306,2156216413,5038.0,3258.0,217.0
366398306,411918853,9161.0,3527.0,329.0
366398306,4944096831,9426.0,2256.0,216.0
366398306,2081355030,14836.0,3951.0,433.0
366398306,366455474,13360.0,3527.0,225.0
366398306,5802888801,1582.0,4131.0,1140.0
366398306,4944096836,1810.0,3563.0,1035.0
366398306,3167001368,8656.0,2792.0,329.0
366398306,411926201,7852.0,3527.0,329.0
366398306,4613083209,7562.0,1269.0,112.0
366398306,1226517290,8228.0,3951.0,433.0
366398306,1540694692,8016.0,417.0,33.0
366398306,366432328,5727.0,3921.0,318.0
366398306,4646816752,9463.0,1269.0,112.0
366398306,729523364,10873.0,3527.0,329.0
366398306,3771416308,12787.0,3951.0,433.0
366398306,5762711578,8330.0,3951.0,433.0
366398306,3168120093,8931.0,2445.0,329.0
366398306,5778300411,9071.0,3951.0,433.0
366398306,3166179577,7855.0,3527.0,329.0
366398306,2942889544,19264.0,3527.0,225.0
366398306,2214122074,6390.0,826.0,68.0
366398306,3242683103,16920.0,3527.0,225.0
366398306,5307203576,7492.0,2445.0,329.0
366398306,1769456883,8171.0,2703.0,329.0
366398306,2262762755,17048.0,3951.0,433.0
366398306,1793489511,2617.0,842.0,68.0
366398306,4010973001,7481.0,3527.0,329.0
366398306,366478800,30003.0,2344.0,193.0
366398306,411919193,7693.0,2792.0,329.0
366398306,411918558,8825.0,2792.0,329.0
366398306,5763168797,8545.0,2445.0,329.0
366398306,701738629,8504.0,2703.0,329.0
366398306,5003306325,15534.0,826.0,68.0
366398306,4945643893,1087.0,3471.0,1265.0
366398306,366403574,11456.0,3527.0,329.0
366398306,3152632052,13137.0,3951.0,433.0
366398306,3168357169,12936.0,826.0,68.0
366398306,366457722,12767.0,826.0,68.0
366398306,5742825828,15406.0,829.0,104.0
366398306,2081880939,12326.0,3653.0,371.0
366398306,2296695354,5261.0,5638.0,733.0
366398306,2922948272,21701.0,3527.0,225.0
366398306,366404948,9983.0,826.0,68.0
366398306,411917829,9574.0,3527.0,329.0
366398306,411918857,8066.0,2792.0,329.0
366398306,5772101028,9675.0,3504.0,433.0
366398306,5778688792,9863.0,826.0,68.0
366398306,4945688766,15824.0,1916.0,160.0
366398306,2211007482,4692.0,4248.0,629.0
366398306,1769173927,6300.0,3527.0,329.0
366398306,366437635,12613.0,2445.0,329.0
366398306,6022345185,10633.0,826.0,68.0
366398306,2034589357,7078.0,3527.0,329.0
366398306,1497312775,10754.0,2779.0,329.0
366398306,366373003,15886.0,829.0,104.0
366398306,2072605232,13841.0,2445.0,329.0
366398306,1997154284,9196.0,826.0,68.0
366398306,366401737,10077.0,3951.0,433.0
