start_node,end_node,cars per hour
366373003,3178952974,104.0
366373003,5307221672,104.0
366373003,729523405,104.0
366373003,411926606,104.0
366373003,2469697625,104.0
366373003,5893932269,66.0
366373003,4640689702,104.0
366373003,1769173809,104.0
366373003,1497312730,104.0
366373003,5762755207,66.0
366373003,411926632,104.0
366373003,5738097219,104.0
366373003,925126918,104.0
366373003,411918528,104.0
366373003,2079964847,104.0
366373003,3110867005,104.0
366373003,4620312299,104.0
366373003,2030639570,104.0
366373003,5742463935,66.0
366373003,5767156750,104.0
366373003,1833407692,104.0
366373003,1757008359,104.0
366373003,2091954845,104.0
366373003,5772101044,104.0
366373003,2937728604,104.0
366373003,366414108,104.0
366373003,1765166516,104.0
366373003,3342113628,104.0
366373003,5762825444,104.0
366373003,3342113686,104.0
366373003,1996655551,104.0
366373003,3141309629,104.0
366373003,411926412,104.0
366373003,2946995066,104.0
366373003,2028465941,104.0
366373003,366464065,66.0
366373003,5740162446,104.0
366373003,4875814748,104.0
366373003,3700940984,104.0
366373003,2211007482,104.0
366373003,4945688766,104.0
366373003,5778688792,104.0
366373003,5772101028,104.0
366373003,411918857,104.0
366373003,411917829,104.0
366373003,366404948,104.0
366373003,2922948272,66.0
366373003,2296695354,104.0
366373003,2081880939,104.0
366373003,5742825828,583.0
366373003,366457722,104.0
366373003,3168357169,104.0
366373003,4275271701,104.0
366373003,1769173927,104.0
366373003,4609087192,104.0
366373003,366437635,104.0
366373003,2034589357,104.0
366373003,411925946,104.0
366373003,3285275354,104.0
366373003,4597281310,104.0
366373003,1769173902,104.0
366373003,5764789632,104.0
366373003,411926624,104.0
366373003,5057828620,104.0
366373003,1802527565,104.0
366373003,5778360128,104.0
366373003,4068031141,104.0
366373003,2022539301,104.0
366373003,366401737,104.0
366373003,1997154284,104.0
366373003,2072605232,66.0
366373003,1497312775,104.0
366373003,6022345185,104.0
366373003,366406615,104.0
366373003,2269043922,66.0
366373003,2934006870,104.0
366373003,5778300411,104.0
366373003,3168120093,104.0
366373003,5762711578,104.0
366373003,3771416308,104.0
366373003,729523364,104.0
366373003,4646816752,104.0
366373003,3166179577,104.0
366373003,366432328,104.0
366373003,2211350099,104.0
366373003,2214122074,104.0
366373003,3830454074,104.0
366373003,2131959234,104.0
366373003,2077773901,66.0
366373003,3385404221,104.0
366373003,1540694692,104.0
366373003,2942889544,66.0
366373003,3242683103,66.0
366373003,5003306325,104.0
366373003,411926201,104.0
366373003,366403574,104.0
366373003,4613083209,104.0
366373003,1226517290,104.0
366373003,701738629,104.0
366373003,411926498,104.0
366373003,5763168797,104.0
366373003,411918558,104.0
366373003,411919193,104.0
366373003,366478800,66.0
366373003,4010973001,104.0
366373003,1793489511,104.0
366373003,2262762755,104.0
366373003,1769456883,104.0
366373003,5307203576,104.0
366373003,5733301047,104.0
366373003,2021899492,104.0
366373003,5762619761,66.0
366373003,5716917501,66.0
366373003,5045757162,104.0
366373003,1997154748,104.0
366373003,4440176377,66.0
366373003,2081881127,104.0
366373003,411923488,104.0
366373003,2159586691,104.0
366373003,2233449865,104.0
366373003,2231246173,104.0
366373003,1672907088,104.0
366373003,3887838914,104.0
366373003,4068007613,104.0
366373003,2269043923,66.0
366373003,366419728,104.0
366373003,411925696,104.0
366373003,4594765218,104.0
366373003,366449378,66.0
366373003,1628403495,104.0
366373003,1497312735,104.0
366373003,366439908,104.0
366373003,5006654050,104.0
366373003,4202267655,104.0
366373003,366450290,104.0
366373003,5767341919,66.0
366373003,2084677921,104.0
366373003,5763293916,104.0
366373003,3758592340,104.0
366373003,5783301728,104.0
366373003,5806378066,104.0
366373003,366464950,104.0
366373003,1835411287,104.0
366373003,4068017784,104.0
366373003,3116773942,104.0
366373003,2353073491,66.0
366373003,2212446493,104.0
366373003,366460317,104.0
366373003,3167001368,104.0
366373003,5765007168,104.0
366373003,5738265715,104.0
366373003,3806810443,104.0
366373003,366456369,104.0
366373003,5748108677,66.0
366373003,5757541611,104.0
366373003,2408534557,104.0
366373003,2302073750,104.0
366373003,696627474,104.0
366373003,4875814765,104.0
366373003,411925910,104.0
366373003,5758130729,104.0
366373003,4535195806,104.0
366373003,1774952214,104.0
366373003,2156216413,104.0
366373003,4944096836,1093.0
366373003,411918853,104.0
366373003,4944096831,104.0
366373003,2081355030,104.0
366373003,366455474,66.0
366373003,4945643893,1498.0
366373003,6205235785,1278.0
366373003,5802888801,1020.0
366373003,5043145855,1365.0
366373003,2209479552,104.0
366373003,676548643,104.0
366373003,2325332286,104.0
366373003,4944096827,1107.0
366373003,1929546274,1279.0
366373003,676035155,104.0
366373003,3338165653,104.0
366373003,5467207473,66.0
366373003,2934599680,104.0
366373003,2915456724,104.0
366373003,1996654342,104.0
366373003,411919364,104.0
366373003,411926069,104.0
366373003,3152632052,104.0
366373003,5778421275,104.0
366373003,5467207443,104.0
366373003,411925950,104.0
366373003,4650010744,104.0
366373003,4597283194,104.0
366373003,1958801416,104.0
366373003,5797843854,104.0
366373003,2621185492,104.0
366373003,2034589362,104.0
366373003,5758130724,104.0
366373003,737199274,66.0
366373003,5773400692,104.0
366373003,411917952,104.0
366373003,4603175867,104.0
366373003,366398306,104.0
366373003,2036083088,104.0
366398306,3385404221,62.0
366398306,2353073491,225.0
366398306,3116773942,62.0
366398306,4068017784,160.0
366398306,1835411287,62.0
366398306,366464950,68.0
366398306,5806378066,33.0
366398306,5783301728,62.0
366398306,3758592340,329.0
366398306,5763293916,329.0
366398306,5767341919,225.0
366398306,366450290,68.0
366398306,2077773901,225.0
366398306,4202267655,38.0
366398306,5006654050,68.0
366398306,5716917501,329.0
366398306,5762619761,225.0
366398306,2021899492,329.0
366398306,2212446493,68.0
366398306,2084677921,433.0
366398306,5733301047,329.0
366398306,2231246173,309.0
366398306,366460317,68.0
366398306,2269043922,225.0
366398306,2131959234,433.0
366398306,1628403495,733.0
366398306,2934006870,68.0
366398306,4594765218,433.0
366398306,411925696,112.0
366398306,366419728,371.0
366398306,2269043923,225.0
366398306,4068007613,160.0
366398306,366439908,65.0
366398306,3887838914,112.0
366398306,2233449865,433.0
366398306,2159586691,297.0
366398306,411923488,433.0
366398306,2081881127,433.0
366398306,4440176377,225.0
366398306,1997154748,112.0
366398306,5045757162,68.0
366398306,366449378,225.0
366398306,1497312735,156.0
366398306,1672907088,371.0
366398306,3830454074,433.0
366398306,411926498,329.0
366398306,2211350099,329.0
366398306,5765007168,329.0
366398306,2034589362,329.0
366398306,5797843854,38.0
366398306,366456369,68.0
366398306,5748108677,433.0
366398306,5757541611,433.0
366398306,2408534557,69.0
366398306,2302073750,68.0
